Month,Month Num,Day,Year,Date,Team,Location
Mar,3,28,2024,2024-03-28,Pirates,@
Mar,3,29,2024,2024-03-29,Pirates,@
Mar,3,30,2024,2024-03-30,Pirates,@
Mar,3,31,2024,2024-03-31,Pirates,@
Apr,4,1,2024,2024-04-01,Pirates,@
Apr,4,3,2024,2024-04-03,Pirates,@
Apr,4,4,2024,2024-04-04,Pirates,@
Apr,4,5,2024,2024-04-05,Pirates,
Apr,4,6,2024,2024-04-06,Pirates,
Apr,4,7,2024,2024-04-07,Pirates,
Apr,4,8,2024,2024-04-08,Pirates,
Apr,4,9,2024,2024-04-09,Pirates,
Apr,4,11,2024,2024-04-11,Pirates,@
Apr,4,12,2024,2024-04-12,Pirates,@
Apr,4,13,2024,2024-04-13,Pirates,@
Apr,4,14,2024,2024-04-14,Pirates,@
Apr,4,15,2024,2024-04-15,Pirates,@
Apr,4,16,2024,2024-04-16,Pirates,@
Apr,4,17,2024,2024-04-17,Pirates,@
Apr,4,19,2024,2024-04-19,Pirates,
Apr,4,20,2024,2024-04-20,Pirates,
Apr,4,21,2024,2024-04-21,Pirates,
Apr,4,22,2024,2024-04-22,Pirates,
Apr,4,23,2024,2024-04-23,Pirates,
Apr,4,24,2024,2024-04-24,Pirates,
Apr,4,25,2024,2024-04-25,Pirates,
Apr,4,26,2024,2024-04-26,Pirates,@
Apr,4,27,2024,2024-04-27,Pirates,@
Apr,4,28,2024,2024-04-28,Pirates,@
Apr,4,29,2024,2024-04-29,Pirates,@
Apr,4,30,2024,2024-04-30,Pirates,@
May,5,1,2024,2024-05-01,Pirates,@
May,5,3,2024,2024-05-03,Pirates,
May,5,4,2024,2024-05-04,Pirates,
May,5,5,2024,2024-05-05,Pirates,
May,5,6,2024,2024-05-06,Pirates,
May,5,7,2024,2024-05-07,Pirates,
May,5,8,2024,2024-05-08,Pirates,
May,5,10,2024,2024-05-10,Pirates,
May,5,11,2024,2024-05-11,Pirates,
May,5,12,2024,2024-05-12,Pirates,
May,5,13,2024,2024-05-13,Pirates,@
May,5,14,2024,2024-05-14,Pirates,@
May,5,15,2024,2024-05-15,Pirates,@
May,5,16,2024,2024-05-16,Pirates,@
May,5,17,2024,2024-05-17,Pirates,@
May,5,18,2024,2024-05-18,Pirates,@
May,5,19,2024,2024-05-19,Pirates,@
May,5,21,2024,2024-05-21,Pirates,
May,5,22,2024,2024-05-22,Pirates,
May,5,23,2024,2024-05-23,Pirates,
May,5,24,2024,2024-05-24,Pirates,
May,5,25,2024,2024-05-25,Pirates,
May,5,26,2024,2024-05-26,Pirates,
May,5,29,2024,2024-05-29,Pirates,@
May,5,29,2024,2024-05-29,Pirates,@
May,5,31,2024,2024-05-31,Pirates,@
Jun,6,1,2024,2024-06-01,Pirates,@
Jun,6,2,2024,2024-06-02,Pirates,@
Jun,6,4,2024,2024-06-04,Pirates,
Jun,6,5,2024,2024-06-05,Pirates,
Jun,6,6,2024,2024-06-06,Pirates,
Jun,6,7,2024,2024-06-07,Pirates,
Jun,6,8,2024,2024-06-08,Pirates,
Jun,6,9,2024,2024-06-09,Pirates,
Jun,6,11,2024,2024-06-11,Pirates,@
Jun,6,12,2024,2024-06-12,Pirates,@
Jun,6,13,2024,2024-06-13,Pirates,@
Jun,6,14,2024,2024-06-14,Pirates,@
Jun,6,15,2024,2024-06-15,Pirates,@
Jun,6,16,2024,2024-06-16,Pirates,@
Jun,6,17,2024,2024-06-17,Pirates,
Jun,6,18,2024,2024-06-18,Pirates,
Jun,6,19,2024,2024-06-19,Pirates,
Jun,6,21,2024,2024-06-21,Pirates,
Jun,6,22,2024,2024-06-22,Pirates,
Jun,6,23,2024,2024-06-23,Pirates,
Jun,6,24,2024,2024-06-24,Pirates,@
Jun,6,25,2024,2024-06-25,Pirates,@
Jun,6,26,2024,2024-06-26,Pirates,@
Jun,6,28,2024,2024-06-28,Pirates,@
Jun,6,29,2024,2024-06-29,Pirates,@
Jun,6,30,2024,2024-06-30,Pirates,@
Jul,7,2,2024,2024-07-02,Pirates,
Jul,7,3,2024,2024-07-03,Pirates,
Jul,7,4,2024,2024-07-04,Pirates,
Jul,7,5,2024,2024-07-05,Pirates,
Jul,7,6,2024,2024-07-06,Pirates,
Jul,7,7,2024,2024-07-07,Pirates,
Jul,7,8,2024,2024-07-08,Pirates,
Jul,7,9,2024,2024-07-09,Pirates,@
Jul,7,10,2024,2024-07-10,Pirates,@
Jul,7,11,2024,2024-07-11,Pirates,@
Jul,7,12,2024,2024-07-12,Pirates,@
Jul,7,13,2024,2024-07-13,Pirates,@
Jul,7,14,2024,2024-07-14,Pirates,@
Jul,7,19,2024,2024-07-19,Pirates,
Jul,7,20,2024,2024-07-20,Pirates,
Jul,7,21,2024,2024-07-21,Pirates,
Jul,7,22,2024,2024-07-22,Pirates,
Jul,7,23,2024,2024-07-23,Pirates,
Jul,7,24,2024,2024-07-24,Pirates,
Jul,7,26,2024,2024-07-26,Pirates,@
Jul,7,27,2024,2024-07-27,Pirates,@
Jul,7,28,2024,2024-07-28,Pirates,@
Jul,7,29,2024,2024-07-29,Pirates,@
Jul,7,30,2024,2024-07-30,Pirates,@
Jul,7,31,2024,2024-07-31,Pirates,@
Aug,8,2,2024,2024-08-02,Pirates,
Aug,8,3,2024,2024-08-03,Pirates,
Aug,8,4,2024,2024-08-04,Pirates,
Aug,8,6,2024,2024-08-06,Pirates,
Aug,8,7,2024,2024-08-07,Pirates,
Aug,8,8,2024,2024-08-08,Pirates,
Aug,8,9,2024,2024-08-09,Pirates,@
Aug,8,10,2024,2024-08-10,Pirates,@
Aug,8,11,2024,2024-08-11,Pirates,@
Aug,8,12,2024,2024-08-12,Pirates,@
Aug,8,13,2024,2024-08-13,Pirates,@
Aug,8,14,2024,2024-08-14,Pirates,@
Aug,8,16,2024,2024-08-16,Pirates,
Aug,8,17,2024,2024-08-17,Pirates,
Aug,8,18,2024,2024-08-18,Pirates,
Aug,8,19,2024,2024-08-19,Pirates,@
Aug,8,20,2024,2024-08-20,Pirates,@
Aug,8,21,2024,2024-08-21,Pirates,@
Aug,8,22,2024,2024-08-22,Pirates,
Aug,8,23,2024,2024-08-23,Pirates,
Aug,8,24,2024,2024-08-24,Pirates,
Aug,8,25,2024,2024-08-25,Pirates,
Aug,8,26,2024,2024-08-26,Pirates,
Aug,8,27,2024,2024-08-27,Pirates,
Aug,8,28,2024,2024-08-28,Pirates,
Aug,8,30,2024,2024-08-30,Pirates,@
Aug,8,31,2024,2024-08-31,Pirates,@
Sep,9,1,2024,2024-09-01,Pirates,@
Sep,9,2,2024,2024-09-02,Pirates,@
Sep,9,3,2024,2024-09-03,Pirates,@
Sep,9,4,2024,2024-09-04,Pirates,@
Sep,9,5,2024,2024-09-05,Pirates,
Sep,9,6,2024,2024-09-06,Pirates,
Sep,9,7,2024,2024-09-07,Pirates,
Sep,9,8,2024,2024-09-08,Pirates,
Sep,9,9,2024,2024-09-09,Pirates,
Sep,9,10,2024,2024-09-10,Pirates,
Sep,9,11,2024,2024-09-11,Pirates,
Sep,9,13,2024,2024-09-13,Pirates,
Sep,9,14,2024,2024-09-14,Pirates,
Sep,9,15,2024,2024-09-15,Pirates,
Sep,9,16,2024,2024-09-16,Pirates,@
Sep,9,17,2024,2024-09-17,Pirates,@
Sep,9,18,2024,2024-09-18,Pirates,@
Sep,9,19,2024,2024-09-19,Pirates,@
Sep,9,20,2024,2024-09-20,Pirates,@
Sep,9,21,2024,2024-09-21,Pirates,@
Sep,9,22,2024,2024-09-22,Pirates,@
Sep,9,24,2024,2024-09-24,Pirates,
Sep,9,25,2024,2024-09-25,Pirates,
Sep,9,26,2024,2024-09-26,Pirates,
Sep,9,27,2024,2024-09-27,Pirates,@
Sep,9,28,2024,2024-09-28,Pirates,@
Sep,9,29,2024,2024-09-29,Pirates,@
Mar,3,30,2023,2023-03-30,Pirates,@
Apr,4,1,2023,2023-04-01,Pirates,@
Apr,4,2,2023,2023-04-02,Pirates,@
Apr,4,3,2023,2023-04-03,Pirates,@
Apr,4,4,2023,2023-04-04,Pirates,@
Apr,4,5,2023,2023-04-05,Pirates,@
Apr,4,7,2023,2023-04-07,Pirates,
Apr,4,8,2023,2023-04-08,Pirates,
Apr,4,9,2023,2023-04-09,Pirates,
Apr,4,10,2023,2023-04-10,Pirates,
Apr,4,11,2023,2023-04-11,Pirates,
Apr,4,12,2023,2023-04-12,Pirates,
Apr,4,13,2023,2023-04-13,Pirates,@
Apr,4,14,2023,2023-04-14,Pirates,@
Apr,4,15,2023,2023-04-15,Pirates,@
Apr,4,16,2023,2023-04-16,Pirates,@
Apr,4,17,2023,2023-04-17,Pirates,@
Apr,4,18,2023,2023-04-18,Pirates,@
Apr,4,19,2023,2023-04-19,Pirates,@
Apr,4,20,2023,2023-04-20,Pirates,
Apr,4,21,2023,2023-04-21,Pirates,
Apr,4,22,2023,2023-04-22,Pirates,
Apr,4,23,2023,2023-04-23,Pirates,
Apr,4,25,2023,2023-04-25,Pirates,
Apr,4,26,2023,2023-04-26,Pirates,
Apr,4,27,2023,2023-04-27,Pirates,
Apr,4,29,2023,2023-04-29,Pirates,@
Apr,4,29,2023,2023-04-29,Pirates,@
Apr,4,30,2023,2023-04-30,Pirates,@
May,5,2,2023,2023-05-02,Pirates,@
May,5,3,2023,2023-05-03,Pirates,@
May,5,4,2023,2023-05-04,Pirates,@
May,5,5,2023,2023-05-05,Pirates,
May,5,6,2023,2023-05-06,Pirates,
May,5,7,2023,2023-05-07,Pirates,
May,5,8,2023,2023-05-08,Pirates,
May,5,9,2023,2023-05-09,Pirates,
May,5,10,2023,2023-05-10,Pirates,
May,5,12,2023,2023-05-12,Pirates,@
May,5,13,2023,2023-05-13,Pirates,@
May,5,14,2023,2023-05-14,Pirates,@
May,5,16,2023,2023-05-16,Pirates,@
May,5,17,2023,2023-05-17,Pirates,@
May,5,19,2023,2023-05-19,Pirates,
May,5,20,2023,2023-05-20,Pirates,
May,5,21,2023,2023-05-21,Pirates,
May,5,22,2023,2023-05-22,Pirates,
May,5,23,2023,2023-05-23,Pirates,
May,5,24,2023,2023-05-24,Pirates,
May,5,26,2023,2023-05-26,Pirates,@
May,5,27,2023,2023-05-27,Pirates,@
May,5,28,2023,2023-05-28,Pirates,@
May,5,29,2023,2023-05-29,Pirates,@
May,5,30,2023,2023-05-30,Pirates,@
May,5,31,2023,2023-05-31,Pirates,@
Jun,6,2,2023,2023-06-02,Pirates,
Jun,6,3,2023,2023-06-03,Pirates,
Jun,6,4,2023,2023-06-04,Pirates,
Jun,6,5,2023,2023-06-05,Pirates,
Jun,6,6,2023,2023-06-06,Pirates,
Jun,6,7,2023,2023-06-07,Pirates,
Jun,6,9,2023,2023-06-09,Pirates,
Jun,6,10,2023,2023-06-10,Pirates,
Jun,6,11,2023,2023-06-11,Pirates,
Jun,6,13,2023,2023-06-13,Pirates,@
Jun,6,14,2023,2023-06-14,Pirates,@
Jun,6,15,2023,2023-06-15,Pirates,@
Jun,6,16,2023,2023-06-16,Pirates,@
Jun,6,17,2023,2023-06-17,Pirates,@
Jun,6,18,2023,2023-06-18,Pirates,@
Jun,6,19,2023,2023-06-19,Pirates,
Jun,6,20,2023,2023-06-20,Pirates,
Jun,6,21,2023,2023-06-21,Pirates,
Jun,6,22,2023,2023-06-22,Pirates,@
Jun,6,23,2023,2023-06-23,Pirates,@
Jun,6,24,2023,2023-06-24,Pirates,@
Jun,6,25,2023,2023-06-25,Pirates,@
Jun,6,27,2023,2023-06-27,Pirates,
Jun,6,28,2023,2023-06-28,Pirates,
Jun,6,29,2023,2023-06-29,Pirates,
Jun,6,30,2023,2023-06-30,Pirates,
Jul,7,1,2023,2023-07-01,Pirates,
Jul,7,2,2023,2023-07-02,Pirates,
Jul,7,3,2023,2023-07-03,Pirates,@
Jul,7,4,2023,2023-07-04,Pirates,@
Jul,7,5,2023,2023-07-05,Pirates,@
Jul,7,6,2023,2023-07-06,Pirates,@
Jul,7,7,2023,2023-07-07,Pirates,@
Jul,7,8,2023,2023-07-08,Pirates,@
Jul,7,9,2023,2023-07-09,Pirates,@
Jul,7,14,2023,2023-07-14,Pirates,
Jul,7,15,2023,2023-07-15,Pirates,
Jul,7,16,2023,2023-07-16,Pirates,
Jul,7,17,2023,2023-07-17,Pirates,
Jul,7,18,2023,2023-07-18,Pirates,
Jul,7,19,2023,2023-07-19,Pirates,
Jul,7,21,2023,2023-07-21,Pirates,@
Jul,7,22,2023,2023-07-22,Pirates,@
Jul,7,23,2023,2023-07-23,Pirates,@
Jul,7,24,2023,2023-07-24,Pirates,@
Jul,7,25,2023,2023-07-25,Pirates,@
Jul,7,26,2023,2023-07-26,Pirates,@
Jul,7,28,2023,2023-07-28,Pirates,
Jul,7,29,2023,2023-07-29,Pirates,
Jul,7,30,2023,2023-07-30,Pirates,
Aug,8,1,2023,2023-08-01,Pirates,
Aug,8,2,2023,2023-08-02,Pirates,
Aug,8,3,2023,2023-08-03,Pirates,@
Aug,8,4,2023,2023-08-04,Pirates,@
Aug,8,5,2023,2023-08-05,Pirates,@
Aug,8,6,2023,2023-08-06,Pirates,@
Aug,8,7,2023,2023-08-07,Pirates,
Aug,8,8,2023,2023-08-08,Pirates,
Aug,8,9,2023,2023-08-09,Pirates,
Aug,8,10,2023,2023-08-10,Pirates,
Aug,8,11,2023,2023-08-11,Pirates,
Aug,8,13,2023,2023-08-13,Pirates,
Aug,8,13,2023,2023-08-13,Pirates,
Aug,8,14,2023,2023-08-14,Pirates,@
Aug,8,15,2023,2023-08-15,Pirates,@
Aug,8,16,2023,2023-08-16,Pirates,@
Aug,8,18,2023,2023-08-18,Pirates,@
Aug,8,19,2023,2023-08-19,Pirates,@
Aug,8,20,2023,2023-08-20,Pirates,@
Aug,8,21,2023,2023-08-21,Pirates,
Aug,8,22,2023,2023-08-22,Pirates,
Aug,8,23,2023,2023-08-23,Pirates,
Aug,8,24,2023,2023-08-24,Pirates,
Aug,8,25,2023,2023-08-25,Pirates,
Aug,8,26,2023,2023-08-26,Pirates,
Aug,8,27,2023,2023-08-27,Pirates,
Aug,8,28,2023,2023-08-28,Pirates,@
Aug,8,29,2023,2023-08-29,Pirates,@
Aug,8,30,2023,2023-08-30,Pirates,@
Sep,9,1,2023,2023-09-01,Pirates,@
Sep,9,2,2023,2023-09-02,Pirates,@
Sep,9,3,2023,2023-09-03,Pirates,@
Sep,9,4,2023,2023-09-04,Pirates,
Sep,9,5,2023,2023-09-05,Pirates,
Sep,9,6,2023,2023-09-06,Pirates,
Sep,9,8,2023,2023-09-08,Pirates,@
Sep,9,9,2023,2023-09-09,Pirates,@
Sep,9,10,2023,2023-09-10,Pirates,@
Sep,9,11,2023,2023-09-11,Pirates,
Sep,9,12,2023,2023-09-12,Pirates,
Sep,9,13,2023,2023-09-13,Pirates,
Sep,9,14,2023,2023-09-14,Pirates,
Sep,9,15,2023,2023-09-15,Pirates,
Sep,9,16,2023,2023-09-16,Pirates,
Sep,9,17,2023,2023-09-17,Pirates,
Sep,9,19,2023,2023-09-19,Pirates,@
Sep,9,20,2023,2023-09-20,Pirates,@
Sep,9,21,2023,2023-09-21,Pirates,@
Sep,9,22,2023,2023-09-22,Pirates,@
Sep,9,23,2023,2023-09-23,Pirates,@
Sep,9,24,2023,2023-09-24,Pirates,@
Sep,9,26,2023,2023-09-26,Pirates,@
Sep,9,27,2023,2023-09-27,Pirates,@
Sep,9,28,2023,2023-09-28,Pirates,@
Sep,9,29,2023,2023-09-29,Pirates,
Sep,9,30,2023,2023-09-30,Pirates,
Oct,10,1,2023,2023-10-01,Pirates,
Apr,4,7,2022,2022-04-07,Pirates,@
Apr,4,9,2022,2022-04-09,Pirates,@
Apr,4,10,2022,2022-04-10,Pirates,@
Apr,4,12,2022,2022-04-12,Pirates,
Apr,4,13,2022,2022-04-13,Pirates,
Apr,4,14,2022,2022-04-14,Pirates,
Apr,4,15,2022,2022-04-15,Pirates,
Apr,4,16,2022,2022-04-16,Pirates,
Apr,4,17,2022,2022-04-17,Pirates,
Apr,4,18,2022,2022-04-18,Pirates,@
Apr,4,19,2022,2022-04-19,Pirates,@
Apr,4,20,2022,2022-04-20,Pirates,@
Apr,4,21,2022,2022-04-21,Pirates,@
Apr,4,22,2022,2022-04-22,Pirates,@
Apr,4,23,2022,2022-04-23,Pirates,@
Apr,4,24,2022,2022-04-24,Pirates,@
Apr,4,26,2022,2022-04-26,Pirates,
Apr,4,27,2022,2022-04-27,Pirates,
Apr,4,28,2022,2022-04-28,Pirates,
Apr,4,29,2022,2022-04-29,Pirates,
Apr,4,30,2022,2022-04-30,Pirates,
May,5,1,2022,2022-05-01,Pirates,
May,5,4,2022,2022-05-04,Pirates,@
May,5,4,2022,2022-05-04,Pirates,@
May,5,7,2022,2022-05-07,Pirates,@
May,5,7,2022,2022-05-07,Pirates,@
May,5,8,2022,2022-05-08,Pirates,@
May,5,9,2022,2022-05-09,Pirates,
May,5,10,2022,2022-05-10,Pirates,
May,5,11,2022,2022-05-11,Pirates,
May,5,12,2022,2022-05-12,Pirates,
May,5,13,2022,2022-05-13,Pirates,
May,5,14,2022,2022-05-14,Pirates,
May,5,15,2022,2022-05-15,Pirates,
May,5,16,2022,2022-05-16,Pirates,@
May,5,17,2022,2022-05-17,Pirates,@
May,5,18,2022,2022-05-18,Pirates,@
May,5,20,2022,2022-05-20,Pirates,
May,5,21,2022,2022-05-21,Pirates,
May,5,22,2022,2022-05-22,Pirates,
May,5,23,2022,2022-05-23,Pirates,
May,5,24,2022,2022-05-24,Pirates,
May,5,25,2022,2022-05-25,Pirates,
May,5,27,2022,2022-05-27,Pirates,@
May,5,28,2022,2022-05-28,Pirates,@
May,5,29,2022,2022-05-29,Pirates,@
May,5,30,2022,2022-05-30,Pirates,@
May,5,31,2022,2022-05-31,Pirates,@
Jun,6,1,2022,2022-06-01,Pirates,@
Jun,6,3,2022,2022-06-03,Pirates,
Jun,6,4,2022,2022-06-04,Pirates,
Jun,6,5,2022,2022-06-05,Pirates,
Jun,6,7,2022,2022-06-07,Pirates,
Jun,6,8,2022,2022-06-08,Pirates,
Jun,6,9,2022,2022-06-09,Pirates,@
Jun,6,10,2022,2022-06-10,Pirates,@
Jun,6,11,2022,2022-06-11,Pirates,@
Jun,6,12,2022,2022-06-12,Pirates,@
Jun,6,13,2022,2022-06-13,Pirates,@
Jun,6,14,2022,2022-06-14,Pirates,@
Jun,6,14,2022,2022-06-14,Pirates,@
Jun,6,15,2022,2022-06-15,Pirates,@
Jun,6,17,2022,2022-06-17,Pirates,
Jun,6,18,2022,2022-06-18,Pirates,
Jun,6,19,2022,2022-06-19,Pirates,
Jun,6,20,2022,2022-06-20,Pirates,
Jun,6,21,2022,2022-06-21,Pirates,
Jun,6,22,2022,2022-06-22,Pirates,
Jun,6,23,2022,2022-06-23,Pirates,
Jun,6,24,2022,2022-06-24,Pirates,@
Jun,6,25,2022,2022-06-25,Pirates,@
Jun,6,26,2022,2022-06-26,Pirates,@
Jun,6,27,2022,2022-06-27,Pirates,@
Jun,6,28,2022,2022-06-28,Pirates,@
Jun,6,29,2022,2022-06-29,Pirates,@
Jun,6,30,2022,2022-06-30,Pirates,
Jul,7,1,2022,2022-07-01,Pirates,
Jul,7,2,2022,2022-07-02,Pirates,
Jul,7,3,2022,2022-07-03,Pirates,
Jul,7,5,2022,2022-07-05,Pirates,
Jul,7,6,2022,2022-07-06,Pirates,
Jul,7,7,2022,2022-07-07,Pirates,@
Jul,7,7,2022,2022-07-07,Pirates,@
Jul,7,8,2022,2022-07-08,Pirates,@
Jul,7,9,2022,2022-07-09,Pirates,@
Jul,7,10,2022,2022-07-10,Pirates,@
Jul,7,11,2022,2022-07-11,Pirates,@
Jul,7,12,2022,2022-07-12,Pirates,@
Jul,7,13,2022,2022-07-13,Pirates,@
Jul,7,14,2022,2022-07-14,Pirates,@
Jul,7,15,2022,2022-07-15,Pirates,@
Jul,7,16,2022,2022-07-16,Pirates,@
Jul,7,17,2022,2022-07-17,Pirates,@
Jul,7,22,2022,2022-07-22,Pirates,
Jul,7,23,2022,2022-07-23,Pirates,
Jul,7,24,2022,2022-07-24,Pirates,
Jul,7,25,2022,2022-07-25,Pirates,@
Jul,7,26,2022,2022-07-26,Pirates,@
Jul,7,28,2022,2022-07-28,Pirates,
Jul,7,29,2022,2022-07-29,Pirates,
Jul,7,30,2022,2022-07-30,Pirates,
Jul,7,31,2022,2022-07-31,Pirates,
Aug,8,2,2022,2022-08-02,Pirates,
Aug,8,3,2022,2022-08-03,Pirates,
Aug,8,4,2022,2022-08-04,Pirates,
Aug,8,5,2022,2022-08-05,Pirates,@
Aug,8,6,2022,2022-08-06,Pirates,@
Aug,8,7,2022,2022-08-07,Pirates,@
Aug,8,8,2022,2022-08-08,Pirates,@
Aug,8,9,2022,2022-08-09,Pirates,@
Aug,8,10,2022,2022-08-10,Pirates,@
Aug,8,11,2022,2022-08-11,Pirates,@
Aug,8,12,2022,2022-08-12,Pirates,@
Aug,8,13,2022,2022-08-13,Pirates,@
Aug,8,14,2022,2022-08-14,Pirates,@
Aug,8,16,2022,2022-08-16,Pirates,
Aug,8,17,2022,2022-08-17,Pirates,
Aug,8,18,2022,2022-08-18,Pirates,
Aug,8,19,2022,2022-08-19,Pirates,
Aug,8,20,2022,2022-08-20,Pirates,
Aug,8,21,2022,2022-08-21,Pirates,
Aug,8,22,2022,2022-08-22,Pirates,
Aug,8,23,2022,2022-08-23,Pirates,
Aug,8,24,2022,2022-08-24,Pirates,
Aug,8,26,2022,2022-08-26,Pirates,@
Aug,8,27,2022,2022-08-27,Pirates,@
Aug,8,28,2022,2022-08-28,Pirates,@
Aug,8,29,2022,2022-08-29,Pirates,@
Aug,8,30,2022,2022-08-30,Pirates,@
Aug,8,31,2022,2022-08-31,Pirates,@
Sep,9,2,2022,2022-09-02,Pirates,
Sep,9,3,2022,2022-09-03,Pirates,
Sep,9,4,2022,2022-09-04,Pirates,
Sep,9,6,2022,2022-09-06,Pirates,
Sep,9,7,2022,2022-09-07,Pirates,
Sep,9,7,2022,2022-09-07,Pirates,
Sep,9,9,2022,2022-09-09,Pirates,
Sep,9,10,2022,2022-09-10,Pirates,
Sep,9,11,2022,2022-09-11,Pirates,
Sep,9,12,2022,2022-09-12,Pirates,@
Sep,9,13,2022,2022-09-13,Pirates,@
Sep,9,13,2022,2022-09-13,Pirates,@
Sep,9,14,2022,2022-09-14,Pirates,@
Sep,9,15,2022,2022-09-15,Pirates,@
Sep,9,16,2022,2022-09-16,Pirates,@
Sep,9,17,2022,2022-09-17,Pirates,@
Sep,9,18,2022,2022-09-18,Pirates,@
Sep,9,20,2022,2022-09-20,Pirates,@
Sep,9,21,2022,2022-09-21,Pirates,@
Sep,9,22,2022,2022-09-22,Pirates,
Sep,9,23,2022,2022-09-23,Pirates,
Sep,9,24,2022,2022-09-24,Pirates,
Sep,9,25,2022,2022-09-25,Pirates,
Sep,9,26,2022,2022-09-26,Pirates,
Sep,9,27,2022,2022-09-27,Pirates,
Sep,9,28,2022,2022-09-28,Pirates,
Sep,9,30,2022,2022-09-30,Pirates,@
Oct,10,1,2022,2022-10-01,Pirates,@
Oct,10,2,2022,2022-10-02,Pirates,@
Oct,10,3,2022,2022-10-03,Pirates,
Oct,10,4,2022,2022-10-04,Pirates,
Oct,10,5,2022,2022-10-05,Pirates,